,webUrl,website,review_Tags,address,description,name,numberOfReviews,tour_Offers,rankingString,rankingDenominator,rating,rawRanking,subtype/0,image
0,https://www.tripadvisor.com/Attraction_Review-g189400-d245993-Reviews-Tomb_of_the_Unknown_Soldier-Athens_Attica.html,,"every hour, parliament building, syntagma square, guard ceremony, greek soldiers, hellenic parliament, visiting athens, changing, ceremonies, pomp, solemn, spectacle, costumes, procession, tourists, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Leoforos Vasilissis Amalias Syntagma Square, Athens 100 28 Greece",,Tomb of the Unknown Soldier,1304,"Athens Highlights Half Day Private Tour, Athens Half-Day Sightseeing Tour, Athens Full Day Private Tour, Athens, The Acropolis and Cape Sounion Full-Day Tour with Lunch, Acropolis Walking Tour, Including Syntagma Square & City Center",#28 of 576 things to do in Athens,576,4.5,3.859749317,Points of Interest & Landmarks,https://media-cdn.tripadvisor.com/media/photo-o/05/7c/51/55/tomb-of-the-unknown-soldier.jpg
1,https://www.tripadvisor.com/Attraction_Review-g189400-d3569017-Reviews-Church_of_Kapnikarea-Athens_Attica.html,,"ermou street, virgin mary, byzantine architecture, quick visit, century, dome, ludwig, otto, athena, masterpiece, admission, centuries, structure, greece, ruins, stone, treasure, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Kapnikarea Platz, Athens Greece",,Church of Kapnikarea,765,"Private City Kickstart Tour: Athens, Medieval Athens Walking Tour with Late Lunch and Wine, St Paul in Athens half-day private tour, Athens: Greek Mythology Outdoor Escape Game, Half day Athens private tour in St Paul footsteps",#23 of 576 things to do in Athens,576,4.5,3.967251062,Churches & Cathedrals,https://media-cdn.tripadvisor.com/media/photo-o/11/a9/d8/9a/church-of-kapnikarea.jpg
2,https://www.tripadvisor.com/Attraction_Review-g189400-d245992-Reviews-Plateia_Syntagmatos-Athens_Attica.html,,"every hour, parliament building, unknown soldier, syntagma square, greek parliament, nice square, guard ceremony, guards change, metro station, tomb, fountain, protest, ermou, spectacle, greeks, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Leoforos Vassilissis Amalias, Athens 105 63 Greece",,Plateia Syntagmatos,2408,"Athens Highlights Half Day Private Tour, Athens Half-Day Sightseeing Tour, Athens Full Day Private Tour, Athens Highlights Afternoon Tour with Dinner - Private Experience, Athens, The Acropolis and Cape Sounion Full-Day Tour with Lunch",#40 of 576 things to do in Athens,576,4,3.689300299,Points of Interest & Landmarks,https://media-cdn.tripadvisor.com/media/photo-o/0a/b4/0b/53/view-of-the-presidential.jpg
3,https://www.tripadvisor.com/Attraction_Review-g189400-d246658-Reviews-National_Garden-Athens_Attica.html,http://m.cityofathens.gr/node/614,"turtle pond, nice park, mini zoo, syntagma square, green space, green oasis, small lake, plants and trees, pleasant walk, panathenaic stadium, animals, benches, goats, stroll, playground, paths, picnic, parakeets, parliament, nature, guard, signage, zeus, changing, statues, hadrian, greece, acropolis, nan, nan","Leoforos Amalias 1, Athens 10557 Greece","The National Garden is a relaxing oasis located in the heart of Athens. This tranquil park is filled with beautiful trees, various plants, and shaded walkways. Here, you can have a picnic, explore the small zoo or botanical museum, and watch the animals as they play in the ponds. There is even a play area for children.

The garden is also a popular shortcut from the Panathenaic Stadium to Syntagma Square and is included in many tours like the hop-on-hop-off bus, and bike tours. Visit in the morning or late afternoon for cooler temperatures. – Tripadvisor",National Garden,1449,"Athens Bike Tour: E-Bike or Regular Bike+Optional Acropolis Visit, City Sightseeing Athens, Piraeus & Beach Riviera Hop-On Hop-Off Bus Tours, Athens Electric Bike Tour, Ancient Athens for Kids 4-Hour Private Walking Tour, Athens, The Acropolis and Cape Sounion Full-Day Tour with Lunch",#39 of 576 things to do in Athens,576,4,3.708990812,Gardens,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/c3/15/67/caption.jpg
4,https://www.tripadvisor.com/Attraction_Review-g189400-d242815-Reviews-Byzantine_and_Christian_Museum-Athens_Attica.html,http://www.byzantinemuseum.gr,"excellent collection, icons, art, religious, history, greece, euros, acropolis, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Leof. Vasilissis Sofias 22, Athens 10675 Greece",,Byzantine and Christian Museum,1014,"Medieval Athens Walking Tour with Late Lunch and Wine, 4-Hours Athens Ancient Agora & Aristotle’s Lyceum Private Tour, Private Half Day Athens Best Museums Tour , Athens: Self-Guided City Experience, Byzantine Glory Private Walking Tour - Athena",#22 of 576 things to do in Athens,576,4.5,3.981691122,History Museums,https://media-cdn.tripadvisor.com/media/photo-m/1280/14/ae/c3/1f/caption.jpg
5,https://www.tripadvisor.com/Attraction_Review-g189400-d246659-Reviews-Temple_of_Athena_Nike-Athens_Attica.html,http://www.welcome-greece.gr/,"acropolis site, victory, goddess, history, ionic, structure, hill, beauty, ruins, greek, statues, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Acropolis, Dionysiou Areopagitou Acropolis, Athens 10558 Greece","The earliest Ionic building on the Acropolis, this small temple of the goddess of victory depicts assemblies of the gods and Greek battles against the Barbarians and the Boeotians.",Temple of Athena Nike,1283,"Acropolis & Parthenon Entrance Ticket w/English Self Guided Tours, Athens Full Day Private Tour, Acropolis monuments & Parthenon Walking Tour with Optional Acropolis Museum , 6 Hours - Athens Sightseeing Private Tour, Acropolis of Athens, Parthenon and Acropolis Museum private tour with dinner",#15 of 576 things to do in Athens,576,4.5,4.081178188,Monuments & Statues,https://media-cdn.tripadvisor.com/media/photo-o/05/7b/0d/51/temple-of-athena-nike.jpg
70,https://www.tripadvisor.com/Attraction_Review-g189400-d198714-Reviews-Benaki_Museum_Museum_of_Greek_Culture-Athens_Attica.html,https://www.benaki.org/index.php?option=com_buildings&view=building&id=11&Itemid=523&lang=en,"gift shop, greek culture, rooftop restaurant, top floor, modern art, chronological order, great collection, on display, costumes, exhibits, paintings, century, clothing, greece, pottery, overview, era, parliament, bc, guard, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","1 Koumbari Street, Athens 106 74 Greece","The Benaki Museum is among the most extensive and innovative cultural organizations in Europa. Diverse cultures from all historical periods and geographical areas meet contemporary art across a network of venues all over Athens – and beyond. The Benaki Museum of Greek Culture presents the history and art of the Greek world from prehistory to the 20th century, through 6.000 objects arranged over four floors. Antonis Benakis (1873-1954) was a passionate art collector. He belonged to a cosmopolitan circle of connoisseurs and intellectuals in Alexandria, Egypt. Following his return to Athens and the death of his benefactor father Emmanuel, Antonis bequeathed to Greece his collections and parental home, which opened in April 1931 as the Benaki Museum. After a comprehensive refurbishment, the building reopened on 7 June 2000 as the Benaki Museum of Greek Culture while the remaining diverse collections have since been housed in new buildings (see Benaki Museum of Islamic Art).",Benaki Museum - Museum of Greek Culture,1574,"Skip the Line: Benaki Museum of Greek Culture Entrance Ticket, Private Walking Tour: Benaki Museum, Private Half Day Athens Best Museums Tour , Athens Private Tour with Hotel or Port Pick up , Athens Shore Excursion: Athens and Piraeus Hop-On Hop-Off Bus Tour",#21 of 576 things to do in Athens,576,4.5,3.986176491,Art Museums,https://media-cdn.tripadvisor.com/media/photo-o/0f/66/22/68/benaki-museum-the-entrance.jpg
71,https://www.tripadvisor.com/Attraction_Review-g189400-d13492914-Reviews-Kotsanas_Museum_of_Ancient_Greek_Technology-Athens_Attica.html,http://Kotsanas.com,"musical instruments, alarm clock, all ages, interactive exhibits, great for kids, eye opening, interesting experience, antikythera mechanism, ancient times, guided tour, invention, demonstration, greeks, science, archimedes, pulley, organ, astronomy, engineering, scientists, advanced, armour, theodora, physical, greece, intensity, exposition, maria, objects, knowledge","Pindarou 6, Athens 10671 Greece","Kotsanas Museum of Ancient Greek Technology in the heart of Athens. In a unique historic Art Nouveau building (Unfortunately there is no access for people with disabilities because the building has been listed and unfortunately no relevant intervention can be made), Pindarou 6 and Akadimias St. in Kolonaki, with a total area of 700 square meters, guests will have the unique opportunity to get to know a relatively unknown aspect of Ancient Greek culture through the exhibition ""The Hi-Tech Inventions of Ancient Greece – The origins of our modern technology"", which includes approximately 100 selected exhibits, reconstructed inventions, from the robot-servant and the ""cinema"" of Philon to the automatic theater of Heron, and from the Hydraulic Clock of Ktesibios to the Antikythera Mechanism. At the same time, the same building will permanently house the independent exhibition of Ancient Greek Musical Instruments with 42 fully functional, reassembled reconstructed musical instruments.",Kotsanas Museum of Ancient Greek Technology,622,"Make your Own Ancient Antikythera Mechanism A ... laptop from the antiquity, Athens Museum Unlimited Pass, The Rise and Fall of ancient Athens!, Greece Military History Tour, nan",#5 of 576 things to do in Athens,576,5,4.441241741,Specialty Museums,https://media-cdn.tripadvisor.com/media/photo-w/12/38/47/13/the-antikythera-mechanism.jpg
72,https://www.tripadvisor.com/Attraction_Review-g189400-d242840-Reviews-Herod_Atticus_Odeon-Athens_Attica.html,http://greekfestival.gr/en/home,"athens festival, music concerts, roman theater, acropolis complex, ancient times, performance, acoustics, amphitheater, stage, tickets, play, arches, audience, structure, stone, site, greek, marble, thousands, hill, restoration, ruins, greece, nan, nan, nan, nan, nan, nan, nan","Dionissiou Areopagitou, Athens Greece",Second-century theater built into the hillside.,Herod Atticus Odeon,1782,"Athens Riverside: A Journey in Mythical Athens, Athens By Night Private Tour, Electric Bike Tour of Athens by Night, Athens Highlights Half Day Private Tour, Acropolis Walking Tour, Including Syntagma Square & City Center",#10 of 576 things to do in Athens,576,4.5,4.155416965,Theaters,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/6b/f0/ce/20190316-113138-largejpg.jpg
73,https://www.tripadvisor.com/Attraction_Review-g189400-d246656-Reviews-Erechtheion-Athens_Attica.html,http://www.welcome-greece.gr/,"acropolis museum, female statues, beautiful building, on display, porch, athena, maiden, columns, copies, site, trident, portico, architecture, marble, legend, scaffolding, bc, hill, gods, greece, greeks, nan, nan, nan, nan, nan, nan, nan, nan, nan","Acropolis, Athens 10558 Greece","The second largest temple on the Acropolis has a complex and unique structure, including its famous Porch of the Caraytis with statues of six graceful maidens on the south side and a four-pillared porch with six Ionic columns on the north side.",Erechtheion,2843,"Acropolis & Parthenon Entrance Ticket w/English Self Guided Tours, Athens Half-Day Sightseeing Tour, Acropolis monuments & Parthenon Walking Tour with Optional Acropolis Museum , Acropolis Ticket with Audio Tour & Athens City Audio Tour, Athens Highlights Half Day Private Tour",#6 of 576 things to do in Athens,576,4.5,4.245135307,Points of Interest & Landmarks,https://media-cdn.tripadvisor.com/media/photo-o/05/79/62/55/erechtheion.jpg
