,webUrl,website,amenities,roomTips,review_Tags,address,description,email,name,numberOfReviews,priceLevel,priceRange,rankingString,rankingDenominator,rating,rawRanking,image
11,https://www.tripadvisor.com/Hotel_Review-g189400-d233051-Reviews-The_Stanley-Athens_Attica.html,http://www.hotelstanley.gr,"Restaurant, Room service, Wifi, Free Wifi, Wheelchair access, Meeting rooms, Non-smoking rooms, Concierge, Banquet Room, Family Rooms, Multilingual Staff, Suites, Bar/Lounge, Dry Cleaning, Business center, Fitness center, Laundry Service, Air conditioning, Smoking rooms available, Accessible rooms, Refrigerator in room, Conference Facilities, Safe, Rooftop Bar, Rooftop Pool, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Poolside Bar, Private Balcony, Outdoor pool, Breakfast Available, Facilities for Disabled Guests, Housekeeping, Sauna, Baggage Storage, Bath / Shower, Breakfast in the Room, 24-Hour Check-in, Coffee / Tea Maker, Complimentary Tea, Desk, Doorperson, English, Fitness / Spa Locker Rooms, Complimentary Instant Cofffee, Complimentary Toiletries, 24-Hour Front Desk, Greek, Hair Dryer, Ironing Service, Kid-Friendly Buffet, Parking Garage, Pool / Beach Towels, Pool with View, Snack Bar, Sun Loungers / Beach Chairs, Sun Terrace, Sun Umbrellas, Taxi Service, Telephone, VIP Room Facilities, ATM On Site, Blackout Curtains, Cable / Satellite TV, Clothes Rack, Currency Exchange, Electric Kettle, French, Landmark View, Laptop Safe, Massage, Outdoor Dining Area, Private Bathrooms, Paid Private Parking On-site, Radio, 24-Hour Security, Shallow End, Sofa Bed, Soundproof Rooms, Spanish, Tile / Marble Floor, Umbrella, Wake Up Service / Alarm Clock, Walk-in Shower, Wardrobe / Closet, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","The Metaxourghio train station is directly in front of the hotel with very convenient access to Plaka/Monastraki districts along with Syntagma Square and Acropolis, Metro station really useful outside
Bread factory is too tempting!
Handy for getting around , Buffet breakfast suppose to start from 5h30 but by then only beverages , bread etc there by 5h45 rest is put on buffet. Nice variety of meal, We highly recommend using the Metro in Athens.  There is a stop next to the hotel. It was very clean , safe , and easy to navigate, Don’t miss the rooftop, there are restaurants close by that are far less expensive but a little more difficult to find and order.","rooftop pool, metro station, busy roundabout, renovated room, pick pockets, hop on hop off bus, star hotel, top floor, breakfast buffet is, fantastic hotel, coffee machine, comfortable hotel, the hotel offers, the room was nice, three nights, an upgrade, an amazing view, main attractions, acropolis view, central athens, syntagma square, balcony, sunbeds, greece, neighborhood, corridor, euros, greek, taxis, cruise","1 Odisseos Street Karaiskaki Square, Athens 104 37 Greece","The Stanley Athens Hotel is a four (4) star hotel, located in Karaiskaki Square near the center of Athens. We are directly in front of the Metaxourghio Metro station, a taxi stand, and tour bus stops, making travel around the city easy and convenient. We feature a stunning rooftop terrace with views of the Acropolis, a swimming pool, bar, and restaurant. Our guest bedrooms have all been recently renovated.",reservations@hotelstanley.gr,The Stanley,581,$$,$96 - $126,#80 of 396 hotels in Athens,396.0,4.0,4.079825401306152,https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/08/f5/80/stanley-hotel.jpg
40,https://www.tripadvisor.com/Hotel_Review-g189400-d658607-Reviews-Victory_Inn-Athens_Attica.html,http://www.victory-inn.gr/,"Internet, Free Internet, Wifi, Free Wifi, Non-smoking rooms, Laundry Service, Concierge, Air conditioning, Family Rooms, Multilingual Staff, Refrigerator in room, English, Public Wifi, Non-smoking hotel, Flatscreen TV, Breakfast Buffet, Breakfast Available, Housekeeping, Baggage Storage, Bottled Water, Breakfast in the Room, 24-Hour Check-in, Express Check-in / Check-out, Clothes Rack, Desk, Doorperson, Electric Kettle, Complimentary Toiletries, 24-Hour Front Desk, German, Hair Dryer, Italian, Polish, Private Bathrooms, Paid Private Parking Nearby, Radio, Russian, Street Parking, Taxi Service, Telephone, Ukrainian, Wake Up Service / Alarm Clock, Wardrobe / Closet, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Always stay aware of possessions on metro from Victoria., rooms in non-front side are quieter, 2 option its either room facing at the back which is apartment bldg. view or the front which is also a building. No special view ., ask for a room with balcony if possible , the higher the floor the better., All rooms seem ok","victoria metro station, minute walk, sized room, main road, comfy bed, tourist sites, greek islands, wifi, euros, street, museum, supermarket, receptionist, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","20 Trias, Athens 112 57 Greece","Situated in the centre of Athens and next to one of the biggest park of the city, Victory Inn offers great-value & comfortable accommodation. Just 500 metres from Victoria Metro Station for easy access to the historic district of Plaka and the Acropolis. Each of the rooms at Victory Inn is tastefully decorated and appointed with a host of modern amenities, including satellite TV, air conditioning and refrigerator for your comfort. The hotel staff are at your service 24-hours a day and happy to help you with all your requests. Victory Inn is just a short walk from the National Archaeological Museum and a host of bars and restaurants. From here, you can take the metro to the historical centre or even walk.",info@victory-inn.gr,Victory Inn,373,$,$33 - $55,#52 of 396 hotels in Athens,396.0,4.5,4.210865020751953,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/72/fe/66/caption.jpg
41,https://www.tripadvisor.com/Hotel_Review-g189400-d230390-Reviews-Acropolis_Select_Hotel-Athens_Attica.html,http://www.acropoliselect.gr,"Internet, Free Internet, Free Wifi, Room service, Wheelchair access, Restaurant, Bar/Lounge, Airport transportation, Wifi, Public Wifi, Dry Cleaning, Non-smoking rooms, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Refrigerator in room, Minibar, Babysitting, Safe, Rooftop Bar, Flatscreen TV, Breakfast Buffet, Private Balcony, Breakfast Available, Parking, Facilities for Disabled Guests, Baggage Storage, 24-Hour Check-in, Complimentary Tea, English, 24-Hour Front Desk, Greek, Kid-Friendly Buffet, Taxi Service, Car Hire, Currency Exchange, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","The lift is smaller, Rude unhelpful staff. Rooms average lots of outside noise., Good location, The elevator is at most good for 2 people, so let them bring up your luggage. , There is no hair dryer 
No iron 
But I think if you ask maybe they bring these things","great location, syngrou fix, two blocks, within walking distance, plaka area, rooftop bar, quiet street, rooms are clean, large balcony, syntagma square, rania, metro, acropolis, wifi, elevator, greece, neighborhood, cafes, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","37-39 Falirou, Athens 117 42 Greece","Ideally located in the heart of Athens and within walking distance to many of the city’s main attractions, the Acropolis Select Hotel is the perfect place to stay during your next visit to Greece’s capital. A short stroll from the hotel places guests at the ancient site of the Acropolis, the New Acropolis Museum and the Plaka District, while other major landmarks such as Syntagma Square, the Temple of Olympian Zeus and the Flee Market as well as the city’s shopping hotspots are within easy reach. The property is a stone’s throw away from metro, tram and bus stations, making traveling around the city and its beach suburbs very convenient.This 72 room hotel has recently undergone renovation, fitted with elegant Italian design furniture, fine German fabrics and original pieces of art inspired from ancient Greece, which add to its modern, stylish decor and welcoming ambiance. The on-site rooftop restaurant, 180 West, serves snacks and Mediterranean cuisine and offers Acropolis views.",select3@otenet.gr,Acropolis Select Hotel,1049,$,$57 - $123,#77 of 396 hotels in Athens,396.0,4.0,4.098496437072754,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/1a/52/51/acropolis-select.jpg
42,https://www.tripadvisor.com/Hotel_Review-g189400-d554815-Reviews-Central_Hotel-Athens_Attica.html,https://www.centralhotel.gr/,"Internet, Free Internet, Free Wifi, Room service, Restaurant, Bar/Lounge, Wifi, Public Wifi, Meeting rooms, Non-smoking rooms, Business center, Concierge, Banquet Room, Air conditioning, Multilingual Staff, Refrigerator in room, Conference Facilities, Non-smoking hotel, Safe, Rooftop Bar, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Private Balcony, Parking, Facilities for Disabled Guests, Housekeeping, Baggage Storage, Bath / Shower, Bathrobes, 24-Hour Check-in, Complimentary Tea, Desk, English, Complimentary Instant Cofffee, Complimentary Toiletries, 24-Hour Front Desk, Greek, Hair Dryer, 24-Hour Security, Taxi Service, Telephone, Wake Up Service / Alarm Clock, Allergy-free Room, Car Hire, Express Check-in / Check-out, Doorperson, First Aid Kit, German, Highchairs Available, Italian, Landmark View, Parking Garage, Private Bathrooms, Snack Bar, Wardrobe / Closet, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","If you send in special requests, contact the hotel multiple times, so they are forced to read them....especially if you need parking., Book an Acropolis view room.
Book a table at the rooftop restaurant., Dont take a room on 6th floor 
Dont go to Acropolis early as everyone goes early
Dont expect Greek waiters//waitresses to be on the ball, Check out the rooftop bar, You can't park there,tiny bathrooms,dirty windows","rooftop bar, syntagma square, great location, acropolis view, an amazing view, walking distance, rooms are small, roof garden, explore athens, greek yogurt, acropolis museum, street, greece, luggage, sites, cons, euros, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Apollonos 21, Athens 105 57 Greece",Enjoy a brief business trip or discover the Ancient Greek civilization in the area around the hotel and relax in our completely renovated rooms with the stunning views of the Acropolis. All rooms are designed to meet the highest standards of accommodation and feature upscale furnishing and decoration.,reservation@centralhotel.gr,Central Hotel,2311,$$,$88 - $116,#58 of 396 hotels in Athens,396.0,4.0,4.196903228759766,https://media-cdn.tripadvisor.com/media/photo-o/18/5b/2f/f0/central-athens-hotel.jpg
44,https://www.tripadvisor.com/Hotel_Review-g189400-d529729-Reviews-AVA_Hotel_Athens-Athens_Attica.html,http://www.avahotel.gr/?utm_source=Tripadvisor&utm_campaign=Business_Listing&utm_medium=Referral,"Internet, Free Internet, Kitchenette, Wifi, Free Wifi, Laundry Service, Suites, Room service, Dry Cleaning, Bar/Lounge, Non-smoking rooms, Concierge, Air conditioning, Multilingual Staff, Microwave, Refrigerator in room, Minibar, Non-smoking hotel, Safe, Flatscreen TV, Breakfast Buffet, Private Balcony, Breakfast Available, Housekeeping, Allergy-free Room, Baggage Storage, Bath / Shower, Blackout Curtains, 24-Hour Check-in, Coffee / Tea Maker, Complimentary Tea, Desk, English, Complimentary Instant Cofffee, Complimentary Toiletries, 24-Hour Front Desk, Greek, Hair Dryer, Kid-Friendly Buffet, Kitchenware, 24-Hour Security, Special Diet Menus, Taxi Service, Wake Up Service / Alarm Clock, Public Wifi, Parking, Bathrobes, Books, DVDs, Music for Children, Bottled Water, Breakfast in the Room, Bridal Suite, Cable / Satellite TV, Children's Television Networks, Clothes Rack, Doorperson, Electric Kettle, First Aid Kit, Complimentary Welcome Drink, Free Wifi in the Business Center, Free Wired Internet in the Business Center, French, German, Highchairs Available, Ironing Service, Italian, Landmark View, Laptop Safe, Newspaper, On-Demand Movies, Private Bathrooms, Seating Area, Sofa, Sofa Bed, Stovetop, Telephone, Tile / Marble Floor, Walk-in Shower, Wardrobe / Closet, Whirlpool Bathtub, Photo Copier / Fax In Business Center, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","request room in back, Choose the balcony room with the Acropolis view; choose the “Athens Experience“ package, Go for the Exclusive Suite, Perfect location and good price. , Get a taxi or public transport as it is in the center","hadrian's arch, an executive suite, perfect location, bottle of champagne, small kitchenette, living room, within walking distance, plaka neighborhood, the hotel staff, quiet street, shopping and restaurants, historic sites, acropolis museum, spacious rooms, wonderful hotel, hotel is located, would highly recommend this hotel, syntagma square, yogurt, acropolis view, balcony, zeus, greece, cruise, tavernas, greek, metro, nan, nan, nan","9 - 11 Lyssikratous Street Plaka, Athens 105 58 Greece","AVA is a boutique Hotel situated at Plaka in the middle of the Historical Centre, at the foot of the Acropolis, on a quiet street. Surrounded by the worlds most renown monuments of Greek Civilization: Parthenon, Zeus Temple, Hadrian Arch, Agora etc. AVA offers spacious Suites & Apartments with all the amenities and comfort of an upscale Hotel, plus the exclusiveness and privacy of one's own home. AVA is a non smoking hotel.",info@avahotel.gr,AVA Hotel Athens,2115,$$$,$193 - $262,#2 of 396 hotels in Athens,396.0,5.0,4.757831573486328,https://media-cdn.tripadvisor.com/media/photo-o/0f/6d/c9/89/ava-hotel-athens.jpg
45,https://www.tripadvisor.com/Hotel_Review-g189400-d230392-Reviews-Divani_Caravel_Hotel-Athens_Attica.html,http://divanicaravelhotel.com,"Pool, Fitness center, Room service, Restaurant, Business center, Internet, Suites, Wifi, Wheelchair access, Bar/Lounge, Shuttle Bus Service, Airport transportation, Dry Cleaning, Meeting rooms, Non-smoking rooms, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Accessible rooms, Minibar, Conference Facilities, Non-smoking hotel, Safe, Rooftop Bar, Rooftop Pool, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Outdoor pool, Facilities for Disabled Guests, Sauna, Baggage Storage, Bath / Shower, Breakfast in the Room, Bridal Suite, Car Hire, 24-Hour Check-in, Doorperson, English, Fitness / Spa Locker Rooms, 24-Hour Front Desk, Greek, Ironing Service, 24-Hour Security, Taxi Service, VIP Room Facilities, Breakfast Available, Housekeeping, ATM On Site, Blackout Curtains, Clothes Rack, Complimentary Toiletries, Free Wifi in the Business Center, Free Wired Internet in the Business Center, Highchairs Available, Interconnected room(s) available, Landmark View, Pool with View, Private Bathrooms, Paid Private Parking On-site, Soundproof Rooms, Steam Room, Sun Deck, Wake Up Service / Alarm Clock, Wardrobe / Closet, Photo Copier / Fax In Business Center, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","avoid if you want good service, Nearby restaurant Oroscopo is characteristic and very good.  Don’t miss the view of the Acropolis from the pool bar., Avoid the standard room., Wonderful rooftop bar and restaurant., All is to the standard of a genuine five star hotel. ","rooftop pool, room service, nice hotel, excellent stay, executive room, reception area, mini bar, reception staff, visit athens, breakfast was excellent, min walk, luxury hotel, syntagma square, metro station, yogurt, xenia, juju, conference, acropolis, evangelismos, gym, euros, greece, greek, slippers, cruise, taxis, cafes, neighborhood, nan","Leoforos Vasileos Alexandrou 2, Athens 161 21 Greece","Divani Caravel is a 5-star iconic hotel ideally situated in central Athens. A member of Divani Collection Hotels, Greece's most historic luxury hotel chain, Divani Caravel exemplifies refined luxury and exceptional service. Our hotel accommodation features 471 rooms (42 suites and 2 Presidential suites). Facilities: Conference Space, rooftop swimming pool and fitness center, JuJu Bar-Restaurant, and more. Divani Caravel also hosts business and private events in its elegant meeting settings.",info@divanicaravel.gr,Divani Caravel Hotel,666,$$,$141 - $181,#61 of 396 hotels in Athens,396.0,4.5,4.171388149261475,https://media-cdn.tripadvisor.com/media/photo-m/1280/16/a9/fa/0c/divani-caravel-hotel.jpg
47,https://www.tripadvisor.com/Hotel_Review-g189400-d12590456-Reviews-AD_Athens_Luxury_Rooms_and_Suites-Athens_Attica.html,,"Internet, Suites, Free Internet, Bar/Lounge, Free Wifi, Breakfast included, Non-smoking rooms, Air conditioning, Multilingual Staff, Minibar, Safe, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Housekeeping, Baggage Storage, 24-Hour Check-in, English, Complimentary Instant Cofffee, 24-Hour Front Desk, Greek, Hair Dryer, Sun Terrace, Taxi Service, Telephone, Kids Activities, Wheelchair access, Dry Cleaning, Laundry Service, Non-smoking hotel, Farsi, French, German, Japanese, Portuguese, Russian, Spanish, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Ask for one of the two suites on 5th floor., Hotel is on a narrow street, so beware if you are driving., As we arrived very late we did not see if there was parking but as this is a centrally located hotel you would be better using a taxi., Just next to the Metro Station ""Acropolis""
A short stroll to Plaka
Very good Restaurants close by, Don’t think twice… just book! It’s terrific! ","acropolis museum, great location, superior king room, fancy shower, akropoli metro, sleeping area, by american standards, reception team, perfect hotel, rooftop breakfast, a stones throw, stunning view of the acropolis, appointed rooms, plaka district, perfect stay, nespresso machine, restaurants and shopping, quiet side street, major attractions, breakfast was amazing, walking distance, couple of nights, bed was comfortable, definitely stay here again, breakfast spread, hotel is located, rooftop bar and restaurant, mini fridge, each morning, a great place to stay","Athanasiou Diakou 4 Makrygianni, Athens 11742 Greece","Welcome to AD Athens Luxury Rooms and Suites, your Athens “home away from home.” AD Athens Luxury Rooms and Suites aims to make your visit as relaxing and enjoyable as possible, which is why so many guests continue to come back year after year.
Close to some of Athens' most popular landmarks, such as Herod Atticus Odeon (0.2 mi) and Philopappos Hill (0.5 mi), AD Athens Luxury Rooms and Suites is a great destination for tourists.
Rooms at AD Athens Luxury Rooms and Suites offer air conditioning and a minibar providing exceptional comfort and convenience, and guests can go online with free wifi.
A 24 hour front desk, a rooftop terrace, and baggage storage are some of the conveniences offered at this hotel. Free breakfast will also help to make your stay even more special.
While you’re here, be sure to check out some of the Mediterranean restaurants, including Nolan, Funky Gourmet, and Feedel Urban Gastronomy, all of which are a short distance from AD Athens Luxury Rooms and Suites.
If you’re looking for something to do, Acropolis (0.3 mi), Acropolis Museum (0.1 mi), and Plaka (0.5 mi) are a nice way to spend some time, and they are all within walking distance of AD Athens Luxury Rooms and Suites.
AD Athens Luxury Rooms and Suites puts the best of Athens at your fingertips, making your stay both relaxing and enjoyable.
",,AD Athens Luxury Rooms and Suites,283,$$,$138 - $162,#7 of 396 hotels in Athens,396.0,5.0,4.683751583099365,https://media-cdn.tripadvisor.com/media/photo-o/10/25/86/3d/photo0jpg.jpg
48,https://www.tripadvisor.com/Hotel_Review-g189400-d17638948-Reviews-Ibis_Styles_Athens_Routes-Athens_Attica.html,https://www.accorhotels.com/gb/hotel-B448-ibis-styles-athens-routes-opening-july-2019/index.shtml,"Internet, Free Internet, Wifi, Free Wifi, Non-smoking rooms, Refrigerator in room, Safe, Flatscreen TV, Breakfast Buffet, Housekeeping, Wheelchair access, Bar/Lounge, Pets Allowed, Meeting rooms, Business center, Fitness center, Concierge, Air conditioning, Family Rooms, Multilingual Staff, Accessible rooms, Conference Facilities, Non-smoking hotel, Breakfast Available, Parking, Facilities for Disabled Guests, Kids Stay Free, Electric vehicle charging station, Baggage Storage, Bath / Shower, Bicycle Rental, Blackout Curtains, Bottled Water, Cable / Satellite TV, Car Hire, 24-Hour Check-in, Express Check-in / Check-out, Children's Television Networks, Clothes Rack, Coffee / Tea Maker, Desk, Electric Kettle, English, Complimentary Welcome Drink, Free Wifi in the Business Center, 24-Hour Front Desk, Greek, Hair Dryer, Highchairs Available, Interconnected room(s) available, Italian, Outdoor Fireplace, Outdoor Furniture, Parking Garage, Patio, Portuguese, Private Bathrooms, Paid Private Parking On-site, Radio, Russian, Shared Lounge / TV Area, Sofa, Sofa Bed, Soundproof Rooms, Spanish, Taxi Service, Telephone, Wake Up Service / Alarm Clock, Wine / Champagne, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Pillows are ridiculously soft, I had to ask at reception for others., Use the metro. Easy to use, quicker and safer, There is no evening meal available but there are restraunts not far away. As ever in Greece pavements outside are a complete mess!, Ask for higher floor room, Some of the rooms have windows facing the main street. Be sure to close the drapes for privacy.","metro station, minute walk, front desk clerk, clean and comfortable rooms, stayed here for nights, every evening, welcome drink, recommend this hotel, great stay, the hotel staff, very nice hotel, agios, sensor, greece, housekeeping, acropolis, street, euro, luggage, cleanliness, greek, nan, nan, nan, nan, nan, nan, nan, nan, nan","Vouliagmenis Avenue 109, Athens 11636 Greece","Business, leisure or just a city break?  Visit the Acropolis or the seaside? 
Strategically located at the city center, ibis Styles Athens Routes is a brand new 4 star hotel. Only 6' walk from the metro station and 15' walk to the Acropolis museum, the hotel offers the ideal setting to enjoy the city with ease. 
Rest in our spacious & quiet rooms with 43' smart TV and chromecast. Enjoy the cheerful ambiance in our restaurant & bar or discover our modern artwork that decorates the hotel. 
A pet friendly 4 star hotel with comfortable rooms, colorful restaurant & bar, indoor parking & fitness room.",HB448-RE@accor.com,ibis Styles Athens Routes,145,$,$70 - $92,#57 of 396 hotels in Athens,396.0,4.5,4.197815418243408,https://media-cdn.tripadvisor.com/media/photo-w/2a/76/03/43/exterior-view.jpg
49,https://www.tripadvisor.com/Hotel_Review-g189400-d235705-Reviews-Attalos_Hotel-Athens_Attica.html,http://www.attaloshotel.com,"Room service, Airport transportation, Dry Cleaning, Business center, Laundry Service, Family Rooms, Refrigerator in room, Non-smoking hotel, Breakfast in the Room, Complimentary Tea, Complimentary Instant Cofffee, Ironing Service, Paid Private Parking Nearby, Internet, Free Internet, Wifi, Free Wifi, Bar/Lounge, Public Wifi, Non-smoking rooms, Concierge, Air conditioning, Multilingual Staff, Rooftop Bar, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Private Balcony, Breakfast Available, Housekeeping, Baggage Storage, Bath / Shower, 24-Hour Check-in, English, Complimentary Toiletries, 24-Hour Front Desk, Greek, Hair Dryer, Kid-Friendly Buffet, 24-Hour Security, Taxi Service, Telephone, Wake Up Service / Alarm Clock, Conference Facilities, Safe, Parking, Kids Stay Free, Allergy-free Room, Blackout Curtains, Cable / Satellite TV, Car Hire, Express Check-in / Check-out, Clothes Rack, Coffee Shop, Desk, Electric Kettle, First Aid Kit, Complimentary Welcome Drink, Free Wifi in the Business Center, Free Wired Internet in the Business Center, Happy Hour, Highchairs Available, Landmark View, Outdoor Furniture, Private Bathrooms, Private Check-in / Check-out, Paid Public Parking Nearby, Radio, Shared Lounge / TV Area, Sofa Bed, Soundproof Rooms, Sun Deck, Sun Loungers / Beach Chairs, Sun Terrace, Umbrella, Walk-in Shower, Wardrobe / Closet, Photo Copier / Fax In Business Center, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Don't leave valuables in checked luggage as it is stored in unsecured area in the basement.  We did not have a problem. , Book a room with Acropolis views!, Recommend roof top bar overlooking Acropolis, with very reasonable bar prices. , Be very careful in the shower., Eat at Just Pitta over the road!","rooftop bar, monastiraki square, great location, metro station, flea market, within walking distance, great view of the acropolis, minute walk, budget hotel, triple room, yogurt, would highly recommend this hotel, breakfast room, central athens, balcony, street, greece, psiri, piraeus, cafes, euros, sites, graffiti, midnight, greek, nan, nan, nan, nan, nan","29 Athinas str. Monastiraki, Athens 105 54 Greece","The Management and Staff invite you to enjoy hospitable surroundings and all the pleasures of Athens within easy reach! The Attalos Hotel, situated in the historic district of Athens, has a history of its own. Offering classic, comfortable accommodation, a friendly staff and atmosphere, Attalos Hotel has created a reputation as "" Your home away from home in the heart of Athens"". All of the hotel's 78 rooms are air-conditioned and fully equipped with central heating, Direct-dial telephone , Satellite TV , Mini refrigerator , Safe box , Private Bathrooms with hair dryers, slippers and bath amenities and of course Free wi-fi access internet. A charming roof garden/bar provides the perfect setting for enjoying a drink under the spectacular view of the Acropolis!",info@attaloshotel.com,Attalos Hotel,2436,$,$66 - $89,#39 of 396 hotels in Athens,396.0,4.0,4.356399059295654,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/8a/71/52/roof-garden-bar-at-night.jpg
50,https://www.tripadvisor.com/Hotel_Review-g189400-d19525668-Reviews-Brown_Acropol_a_member_of_Brown_Hotels-Athens_Attica.html,https://www.brownhotels.com/athens/acropol,"Bar/Lounge, Pets Allowed, Spa, Airport transportation, Breakfast included, Hot Tub, Fitness center, Concierge, Multilingual Staff, Rooftop Bar, Rooftop Terrace, Facilities for Disabled Guests, Housekeeping, Baggage Storage, Coffee / Tea Maker, Doorperson, Complimentary Instant Cofffee, Kid-Friendly Buffet, Massage, Seating Area, Sun Terrace, Sun Umbrellas, Taxi Service, Family Rooms, Minibar, Conference Facilities, Flatscreen TV, Sauna, Allergy-free Room, Couples Massage, Foot Massage, Complimentary Welcome Drink, Full Body Massage, Hand Massage, Head Massage, Highchairs Available, Interconnected room(s) available, Neck Massage, Outdoor Dining Area, Paid Private Parking Nearby, Radio, Sofa Bed, Steam Room, Sun Deck, Tile / Marble Floor, Walking Tours, Photo Copier / Fax In Business Center, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Excellent value, facilities and transport links  from which to explore Athens., Consider there is no parking included, There are many eating places around the hotel, that gives you the options for eating. 
Also, brilliant views of the Acropolis from the roof!, Take ear plugs, Find a different hotel","sauna area, beautiful boutique, nice facilities, nespresso coffee machine, rooftop bar, usb ports, bath products, convenient area, city break, cozy room, style hotel, an amazing hotel, day of sight seeing, spa facilities, amazing city, omonia square, every staff member, cool hotel, the main areas, great rooftop, front office, bed and pillows, minutes walking distance, excellent breakfast, reception desk, welcome drink, athens hotel, rooms are big, a wonderful stay, city view","1, Panagi Tsaldari Str., Athens 105 52 Greece","Welcome to the perfect start to Athens. Brown Acropol is a brand new design hotel, the very first by Brown Hotels in Greece, inspired by the legendary cosmopolitan vibes of the 60s as well as the urban heritage of Athens. The hotel’s interiors and philosophy are based on a retro aesthetic, seasoned with a contemporary take on upscale leisure and lifestyle coolness. All 164 of its refurbished, high-end design rooms and suites feature comfy beds and luxurious bathrooms.",acropol@brownhotels.com,"Brown Acropol, a member of Brown Hotels",394,$,$59 - $94,#42 of 396 hotels in Athens,396.0,4.5,4.3312296867370605,https://media-cdn.tripadvisor.com/media/photo-o/2a/ae/7d/ac/miscellaneous.jpg
