,webUrl,website,features,review_Tags,cuisines,meal_Types,dishes,address,description,email,name,menuWebUrl,numberOfReviews,priceLevel,priceRange,rankingString,rankingDenominator,rating,rawRanking,image,owner_image_url
6,https://www.tripadvisor.com/Restaurant_Review-g562630-d967921-Reviews-Amigos-Glyfada_Attica.html,https://www.amigos.gr/el,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","fajitas, guacamole, salad, mexican restaurant, frozen margarita, great margaritas, salsa night, excellent atmosphere, nice food, big portions, quality of food, panos, alexander, stella, athens, music, sangria, latin, greece, environment, waiters, greek, nan, nan, nan, nan, nan, nan, nan, nan","Mexican, Southwestern, Latin, Healthy, Central American, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan","Lunch, Dinner, Late Night, Drinks, nan, nan","Burrito, Burger, Tortillas, Salad, Tacos, Chili, Fajitas, Nachos, Beef, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Kyprou 65, Glyfada Greece",,info@amigos.gr,Amigos,https://www.amigos.gr/el#main-menu,1765,$$ - $$$,$20 - $40,#1 of 287 places to eat in Glyfada,239.0,4.5,4.814003944396973,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/b8/a3/a6/amigos-garden.jpg,"nan, nan, nan"
7,https://www.tripadvisor.com/Restaurant_Review-g189400-d21164074-Reviews-Herve_Restaurant-Athens_Attica.html,http://www.herve-restaurant.com,"Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service, Outdoor Seating, Street Parking, Wheelchair Accessible, Full Bar, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Family style, Non-smoking restaurants, Gift Cards Available, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","gastronomic experience, pairing, sommelier, cuisine, dishes, ambience, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","French, Mediterranean, Greek, Japanese Fusion, nan, nan, nan, nan, nan, nan, nan","Dinner, nan, nan, nan, nan, nan","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Trion Ierarchon 170 May not be visible from the street view, Athens 118 52 Greece",Chef's table restaurant providing a 16 course tasting experience highlighting season's best ingredients from Greece and abroad.,info@herve-restaurant.com,Herve Restaurant,https://herve-restaurant.com/menu-philosophy/,84,$$$$,$95,"#207 of 3,608 places to eat in Athens",2952.0,5.0,4.2366862297058105,https://media-cdn.tripadvisor.com/media/photo-m/1280/26/50/5f/9e/the-chef-s-table.jpg,"https://media-cdn.tripadvisor.com/media/photo-s/26/4a/ad/06/the-mussels-tasting-menu.jpg, https://media-cdn.tripadvisor.com/media/photo-s/1b/dc/3e/f1/for-the-love-of-amanitis.jpg, https://media-cdn.tripadvisor.com/media/photo-s/1b/dc/3e/46/a-twisted-version-of.jpg"
8,https://www.tripadvisor.com/Restaurant_Review-g189400-d5041914-Reviews-Liondi_Traditional_Greek_Restaurant-Athens_Attica.html,http://www.liondi.com,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","moussaka, greek platter, potatoes, baked feta, cheesecake, octopus, sea bass, seafood, chicken, acropolis museum, amazing food, house wine, great restaurant, tourist trap, stavros, greece, george, dips, euro, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Mediterranean, Greek, Healthy, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan, nan, nan","Lunch, Dinner, Brunch, Late Night, nan, nan","Moussaka, Pasta, Cheesecake, Gyros, Shrimp, Souvlaki, Salad, Calamari, Eggplant, Octopus, Bass, Lamb, Pesto, Cakes, Fish, Pork, nan, nan, nan, nan, nan, nan, nan, nan","Makrygianni Street 21, Athens 11742 Greece",,info@liondi.com,Liondi Traditional Greek Restaurant,https://www.liondi.com/,5132,$$ - $$$,$8 - $25,"#17 of 3,608 places to eat in Athens",2952.0,4.5,4.805395126342773,https://media-cdn.tripadvisor.com/media/photo-o/0e/cb/9c/2f/liondi.jpg,"nan, nan, nan"
9,https://www.tripadvisor.com/Restaurant_Review-g189400-d2186282-Reviews-Oroscopo-Athens_Attica.html,https://oroscopo.gr,"Outdoor Seating, Seating, Street Parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Accepts Credit Cards, Table Service, Non-smoking restaurants, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","soup, beef ribs, bread, lemon sorbet, pizza, moussaka, sea bass, greek salad, grilled octopus, ice cream, seafood, divani caravel, complimentary desserts, main course, excellent food and service, great restaurant, close to our hotel, highly recommend this restaurant, visiting athens, hilton, limoncello, desert, dips, greece, waiters, neighborhood, nan, nan, nan, nan","Italian, Mediterranean, Greek, Healthy, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan, nan","Lunch, Dinner, nan, nan, nan, nan","Moussaka, Cheesecake, Burger, Ribs, Shrimp, Salad, Calamari, Risotto, Tiramisu, Meatballs, Tagliatelle, Carbonara, Salmon, Octopus, Bass, Beef, Lamb, Pesto, Fish, Pork, nan, nan, nan, nan","Antinoros 42 - 44 Caravel Divani Hotel Square, Athens 161 21 Greece","Specialized in Modern Greek Cuisine & Pasta, tastes at all times with the freshest ingredients being used and the passion for food in a combination with the wine list full by a variety of Greek labels, Oroscopo Restaurant can satisfy even the most demanding customer. Located in the centre of Athens, next to Hilton and Caravel hotels, Oroscopo restaurant offers free wifi to all customers. You also have the opportunity to dine indoors in the airconditioned hall or at our outdoors tables near the square!",info@oroscopo.gr,Oroscopo,https://oroscopo.gr/el/sitemap/menou112022.html,2823,$$ - $$$,$19 - $29,"#16 of 3,608 places to eat in Athens",2952.0,4.5,4.81397008895874,https://media-cdn.tripadvisor.com/media/photo-m/1280/16/53/f8/92/our-revonated-interior.jpg,"https://media-cdn.tripadvisor.com/media/photo-s/1a/fe/ba/91/our-outside-dinning-hall.jpg, https://media-cdn.tripadvisor.com/media/photo-s/1a/fe/b2/5d/pears-of-greek-traditional.jpg, https://media-cdn.tripadvisor.com/media/photo-s/29/5b/71/30/most-delicious-desserts.jpg"
10,https://www.tripadvisor.com/Restaurant_Review-g189400-d7355393-Reviews-Jonah_s_Restaurant-Athens_Attica.html,http://www.jonahs.gr,"Delivery, Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service, Parking Available, Street Parking, Validated Parking, Full Bar, Family style, nan, nan, nan, nan, nan, nan, nan, nan, nan","brunch, t bone steak, salad, risotto, rice, perfect dinner, nice atmosphere, presentation, meat, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Italian, Seafood, Mediterranean, European, Greek, Wine Bar, Vegan Options, Vegetarian Friendly, Gluten Free Options, nan, nan","Brunch, Breakfast, Lunch, Dinner, nan, nan","Pasta, Burger, Salad, Risotto, Pesto, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Vournazou 31, Athens 115 21 Greece","Ιταλική Κουζινα ,με φρέσκα ζυμαρικά , μεσογειακά πιάτα από διαλεκτά προϊόντα , φρέσκα ψάρια, πολλές επιλογές από vegan γεύσεις … συνθέτουν έναν πανέμορφο χώρο έναντι μέτρο στους Αμπελοκήπους στο ύψος της ευρωκλινης Αθηνών .",sousounisgeorge@gmail.com,Jonah's Restaurant,http://www.jonahs.gr/,227,$$ - $$$,$20 - $30,"#14 of 3,608 places to eat in Athens",2952.0,5.0,4.826950550079346,https://media-cdn.tripadvisor.com/media/photo-o/2a/79/6c/c7/place.jpg,"nan, nan, nan"
12,https://www.tripadvisor.com/Restaurant_Review-g189400-d9979781-Reviews-Indian_Haveli-Athens_Attica.html,http://www.indianhaveli.gr/,"Delivery, Takeout, Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service, Dog Friendly, Family style, Gift Cards Available, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","chicken tikka masala, gulab jamun, mango, great indian food, best indian, indian taste, great hospitality, nice ambience, fast service, greece, kadai, veg, acropolis, heart, cuisine, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Indian, Asian, Healthy, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan, nan, nan","Lunch, Dinner, Drinks, nan, nan, nan","Tandoori Chicken, Salad, Curry, Tikka Masala, Lamb, Fish, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Leof. Andrea Siggrou 12, Athens 117 42 Greece","Indian Haveli is an Authentic Indian Vegetarian and Non-Vegetarian,North and South Indian cuisine in Center of Athens,Near Acropolis Metro,with variety of curries that are made out of fresh ingredients with diverse tastes and decorative elements while at the same time maintaining the hospitality traditions of India.We are Serving Delicious food with reasonable prices.",mkcknl@yahoo.com,Indian Haveli,http://www.indianhaveli.gr/en/our-special-dishes/,3017,$$ - $$$,$6 - $15,"#15 of 3,608 places to eat in Athens",2952.0,5.0,4.816323280334473,https://media-cdn.tripadvisor.com/media/photo-o/13/1e/43/75/outside.jpg,"https://media-cdn.tripadvisor.com/media/photo-s/13/1e/43/75/outside.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0b/bb/5d/9d/traditional-look-indian.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0b/bb/5d/06/indian-haveli-decor.jpg"
13,https://www.tripadvisor.com/Restaurant_Review-g3695532-d12235404-Reviews-Deniz_Meze-Paleo_Faliro_Attica.html,http://www.denizmeze.gr/,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","seafood, melon, grilled squid, baklava, greek salad, bread, saganaki, fresh fish, fries, the owner, delicious food, great restaurant, big portions, nice service, athens, ouzo, panos, hospitality, desert, edem, turkish, tavern, greece, stuffed, marina, nan, nan, nan, nan, nan","Seafood, Mediterranean, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan, nan, nan, nan","Lunch, Dinner, nan, nan, nan, nan","Shrimp, Salad, Calamari, Mussels, Fish, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Agias Varvaras 11 P. Faliro, Paleo Faliro 174 55 Greece",Live the Deniz Experience! In a friendly environment enjoy mediterranean snacks fresh fish and good wine in good prices!,info@denizmeze.gr,Deniz Meze,https://www.denizmeze.gr/κατάλογος/,547,$,$5 - $20,#1 of 156 places to eat in Paleo Faliro,127.0,4.5,4.803600788116455,https://media-cdn.tripadvisor.com/media/photo-o/19/f7/70/2a/deniz-meze-out-view.jpg,"nan, nan, nan"
14,https://www.tripadvisor.com/Restaurant_Review-g15512140-d23382497-Reviews-Barrique_Port-Piraeus_Attica.html,http://www.barriqueport.gr,"Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service, Wine and Beer, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","steak, excellent service, friendly atmosphere, dimitri, staying, portions, ferry, tender, waiter, evening, wine, meat, quality, taste, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Greek, Beer restaurants, Steakhouse, Barbecue, Healthy, nan, nan, nan, nan, nan, nan","Lunch, Dinner, nan, nan, nan, nan","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Filonos 66 & 2as Merarchias, Piraeus 18535 Greece",,barrique.port@gmail.com,Barrique Port,https://barriqueport.gr/menu-2/,106,$$ - $$$,,#1 of 15 places to eat in Piraeus,13.0,5.0,4.810958862304688,https://media-cdn.tripadvisor.com/media/photo-o/1c/fd/27/ef/barrique-port.jpg,"nan, nan, nan"
15,https://www.tripadvisor.com/Restaurant_Review-g189403-d12232391-Reviews-Aposperitis_Maereio-Piraeus_Piraeus_Region_Attica.html,https://www.facebook.com/AposperitisMaereio/,"Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Table Service, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","dolma, salad, chicken, fries, seafood, two brothers, family dinner, wonderful food, delicious dishes, our waiter, greek, athens, greece, homemade, port, mushrooms, taxi, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Seafood, Mediterranean, Greek, International, Vegetarian Friendly, Vegan Options, Gluten Free Options, nan, nan, nan, nan","Lunch, Dinner, Drinks, nan, nan, nan","Salad, Fish, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Sofokleious 105 Antoniou Theochari, Piraeus 18539 Greece",,,Aposperitis Maereio,https://www.facebook.com/AposperitisMaereio/menu/,301,$$ - $$$,$12 - $25,#1 of 452 places to eat in Piraeus,367.0,5.0,4.838021278381348,https://media-cdn.tripadvisor.com/media/photo-o/16/16/d3/7c/caption.jpg,"nan, nan, nan"
16,https://www.tripadvisor.com/Restaurant_Review-g189400-d24022911-Reviews-Karminio_All_day_Eatery-Athens_Attica.html,https://www.instagram.com/karminio_Athens/,"Reservations, Seating, Serves Alcohol, Table Service, Gift Cards Available, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","brunch, mushroom risotto, poached eggs, moussaka, pie, greek salad, yogurt, bread, open souvlaki, best food in town, food was great, visiting athens, cozy place, ate here, kiki, koukaki, specials, menus, appetizers, centre, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan","Bar, European, Greek, Diner, Street Food, Mediterranean, Vegetarian Friendly, Vegan Options, nan, nan, nan","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Moussaka, Salad, Risotto, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Veikou 86, Athens 11741 Greece","Karminio is an all day eatery with coffee, cocktails, brunch and signature dishes! #KarminioAthens open daily from 8AM to 2AM.",,Karminio - All day Eatery,https://linktr.ee/karminio_athens,90,$$ - $$$,$5 - $20,"#13 of 3,608 places to eat in Athens",2952.0,5.0,4.827012538909912,https://media-cdn.tripadvisor.com/media/photo-m/1280/24/f2/26/a9/karminio-all-day-eatery.jpg,"nan, nan, nan"
